,saleprice,overall_qual,gr_liv_area,garage_area,total_bsmt_sf,1st_flr_sf,exter_qual_TA,year_built,year_remod/add,kitchen_qual_TA,full_bath,foundation_PConc,garage_yr_blt,totrms_abvgrd,mas_vnr_area,fireplace_qu_No,fireplaces,bsmtfin_type_1_GLQ,bsmt_qual_TA,neighborhood_NridgHt,exter_qual_Gd,garage_finish_Unf,mas_vnr_type_None,bsmtfin_sf_1,fireplace_qu_Gd,bsmt_exposure_Gd,garage_type_Detchd,sale_type_New,foundation_CBlock,ms_subclass_60,bsmt_exposure_No,heating_qc_TA,exterior_1st_VinylSd,open_porch_sf,wood_deck_sf,mas_vnr_type_Stone,lot_shape_Reg,kitchen_qual_Gd,lot_area,paved_drive_Y,bsmt_full_bath,half_bath,ms_zoning_RM,central_air_Y,garage_cond_TA,roof_style_Hip,neighborhood_NoRidge,mas_vnr_type_BrkFace,neighborhood_StoneBr,electrical_SBrkr,garage_qual_TA,roof_style_Gable,ms_subclass_30,2nd_flr_sf,ms_zoning_RL,garage_type_No
18,143500,6,1285.0,528.0,660.0,1285,1,1977,1977,1,1,0,1977.0,7,148.0,0,1,0,1,0,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,138,0,1,0,8197,1,0.0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0
19,215200,7,1547.0,614.0,756.0,764,1,2009,2009,0,2,1,2009.0,7,0.0,1,0,1,0,0,0,1,1,24.0,0,0,0,0,0,1,0,0,1,45,169,0,1,1,8640,1,0.0,1,0,1,1,0,0,0,0,1,1,1,0,783,0,0
20,129000,5,894.0,450.0,894.0,894,1,1968,1968,1,1,0,1968.0,5,0.0,0,1,0,0,0,0,0,1,492.0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,8724,1,0.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
21,278000,8,1659.0,499.0,1501.0,1659,0,2000,2000,0,2,1,2000.0,5,0.0,0,1,1,0,0,1,0,1,1158.0,0,0,0,0,0,0,1,0,0,59,212,0,0,0,5664,1,1.0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0
22,344133,8,2253.0,575.0,1209.0,1209,0,2005,2006,0,2,1,2005.0,8,0.0,0,1,0,0,1,1,0,0,0.0,1,0,0,1,0,1,0,0,0,142,243,0,0,0,12867,1,0.0,1,0,1,1,0,0,0,0,1,1,1,0,1044,1,0
23,185000,6,1187.0,420.0,1168.0,1187,1,1992,2007,1,2,1,1992.0,6,0.0,1,0,0,0,0,0,0,1,935.0,0,0,0,0,0,0,1,0,0,21,483,0,0,0,7980,1,1.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
24,145000,5,1056.0,572.0,1056.0,1056,1,1955,1955,1,1,0,1955.0,5,0.0,1,0,0,1,0,0,0,1,1056.0,0,0,0,0,1,0,0,1,0,0,264,0,1,0,34650,1,1.0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
25,187500,6,1453.0,530.0,1453.0,1453,1,1961,1961,1,2,0,1961.0,6,3.0,0,1,0,1,0,0,0,0,1312.0,0,0,0,0,1,0,1,0,0,49,0,0,0,0,10573,1,1.0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
26,138500,5,894.0,336.0,894.0,894,1,1965,2009,1,1,0,1973.0,5,0.0,0,1,1,1,0,0,1,1,553.0,1,0,1,0,1,0,1,0,0,144,416,0,1,0,8450,1,1.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
27,198000,5,1938.0,240.0,942.0,1265,1,1937,1995,0,2,0,1937.0,7,0.0,0,1,0,1,0,0,1,1,606.0,1,0,1,0,1,0,1,0,0,40,0,0,0,1,11700,1,0.0,0,0,1,1,0,0,0,0,1,1,1,0,673,1,0
28,119600,5,1991.0,0.0,957.0,1034,1,1895,2006,1,2,0,0.0,9,0.0,1,0,0,1,0,0,0,1,0.0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,8250,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,957,0,1
29,122900,5,924.0,576.0,672.0,672,1,1949,2006,1,1,0,2003.0,6,0.0,0,1,0,1,0,0,1,1,0.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,8064,1,0.0,0,0,1,1,0,0,0,0,1,1,1,0,252,1,0
30,278000,8,2524.0,542.0,2524.0,2524,0,1981,1981,0,2,1,1981.0,9,0.0,0,1,0,0,0,1,0,1,1104.0,1,0,0,0,0,0,1,1,0,120,474,0,1,1,9600,1,1.0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0
31,230000,8,1517.0,400.0,792.0,792,1,1929,1950,0,1,1,1931.0,7,0.0,0,2,0,0,0,0,1,1,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,11435,1,0.0,0,0,1,1,0,0,0,0,1,1,1,0,725,1,0
32,270000,8,1494.0,481.0,1494.0,1494,0,1995,1996,0,1,1,1995.0,6,0.0,0,1,0,0,0,1,0,1,437.0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,9549,1,1.0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0
33,125000,6,948.0,410.0,948.0,948,1,1952,1952,1,1,0,1952.0,5,0.0,1,0,0,1,0,0,1,1,441.0,0,0,1,0,1,0,1,1,0,48,0,0,1,0,10950,0,0.0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
34,297000,8,1718.0,826.0,1705.0,1718,0,2007,2008,0,2,1,2007.0,7,336.0,0,1,1,0,0,1,0,0,1288.0,1,1,0,0,0,0,0,0,1,44,208,1,1,1,10637,1,1.0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
35,113500,6,1142.0,384.0,160.0,1142,1,1958,1958,1,1,0,1958.0,5,82.0,0,1,0,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0,28,0,0,0,0,9000,1,0.0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
36,127000,5,1475.0,336.0,757.0,925,1,1977,1977,1,2,1,1977.0,6,0.0,0,1,0,1,0,0,0,1,548.0,0,0,0,0,0,0,1,0,0,26,104,0,1,0,2665,1,0.0,0,1,1,1,0,0,0,0,1,1,1,0,550,0,0
37,190000,6,1844.0,546.0,1844.0,1844,1,1977,1977,1,2,0,1977.0,7,480.0,0,1,0,0,0,0,0,0,705.0,0,0,0,0,1,0,1,0,0,122,0,0,0,0,11751,1,0.0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
38,175500,7,1242.0,528.0,1242.0,1242,1,1973,1973,1,1,0,1973.0,6,320.0,0,1,0,1,0,0,1,0,916.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,9600,1,0.0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0
39,146000,5,990.0,384.0,990.0,990,1,1994,1994,1,1,1,1995.0,5,0.0,1,0,1,0,0,0,1,1,420.0,0,0,1,0,0,0,1,0,1,0,256,0,0,0,8428,1,1.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
40,147500,5,1256.0,276.0,1256.0,1256,0,1965,1965,1,1,0,1965.0,6,0.0,1,0,0,1,0,1,0,1,830.0,0,0,0,0,1,0,1,0,0,68,736,0,1,0,9937,1,1.0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0
41,465000,10,2076.0,850.0,2076.0,2076,0,2006,2006,0,2,1,2006.0,7,0.0,0,1,1,0,1,0,0,0,1386.0,1,1,0,1,0,0,0,0,1,229,216,0,1,0,13891,1,1.0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0
42,165500,5,1110.0,602.0,1097.0,1110,1,1978,1978,0,1,1,1978.0,4,104.0,0,1,1,0,0,0,0,0,1097.0,0,0,0,0,0,0,0,0,0,30,303,0,0,1,9101,1,1.0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0
43,131500,5,1795.0,352.0,1050.0,1050,1,1954,1954,1,2,0,1954.0,7,335.0,1,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12150,1,0.0,0,1,0,1,0,0,1,0,0,0,1,0,745,0,0
44,129500,5,1040.0,384.0,1040.0,1040,1,1965,1965,1,1,0,1965.0,5,0.0,1,0,0,1,0,0,1,1,906.0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,11200,1,1.0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
45,257076,8,1873.0,786.0,608.0,983,1,1935,1950,1,1,1,1935.0,9,40.0,0,2,0,1,0,0,0,0,210.0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,9670,1,0.0,1,0,1,1,0,0,0,0,1,0,1,0,890,1,0
46,117000,5,1604.0,660.0,984.0,984,1,1941,1960,1,2,0,1977.0,6,0.0,1,0,0,1,0,0,1,1,408.0,0,0,1,0,1,0,1,0,0,68,0,0,1,0,10998,1,0.0,0,0,1,1,0,0,0,0,1,1,1,0,620,1,0
47,149000,7,1502.0,270.0,776.0,851,1,1931,2000,1,1,0,1931.0,6,0.0,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,7200,0,0.0,1,0,1,1,0,0,0,0,1,1,1,0,651,1,0
48,128000,5,1063.0,280.0,1056.0,1063,1,1954,1954,1,1,0,1954.0,6,110.0,1,0,0,1,0,0,0,0,354.0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,9920,1,1.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
49,155000,7,1626.0,474.0,764.0,764,0,2003,2004,0,2,1,2003.0,6,106.0,1,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,1,0,1,27,0,1,1,1,2448,1,0.0,1,0,1,1,0,0,0,0,1,1,1,0,862,1,0
50,166000,6,1524.0,440.0,756.0,768,0,2000,2000,0,2,1,2000.0,4,513.0,1,0,1,0,0,1,1,0,353.0,0,0,1,0,0,0,1,0,0,32,0,0,1,1,2998,1,0.0,1,0,1,1,0,0,1,0,1,1,1,0,756,0,0
51,135000,4,1981.0,576.0,1122.0,1328,1,1928,1950,0,2,0,1981.0,7,0.0,0,2,0,1,0,0,1,1,622.0,0,0,1,0,0,0,1,1,0,44,431,0,1,1,7804,1,1.0,0,0,1,1,0,0,0,0,1,1,1,0,653,1,0
52,250000,7,2784.0,564.0,1392.0,1392,1,1978,1978,0,3,0,1978.0,12,184.0,0,2,0,0,0,0,0,0,790.0,0,0,0,0,1,1,1,1,0,112,0,0,0,1,16692,1,1.0,1,0,1,1,0,0,1,0,1,1,1,0,1392,1,0
53,76000,4,1092.0,0.0,546.0,546,1,1970,1970,1,1,0,0.0,5,0.0,1,0,1,1,0,0,0,1,176.0,0,0,0,0,1,0,1,0,0,26,200,0,1,0,1476,1,0.0,1,1,1,0,0,0,0,0,1,0,1,0,546,0,1
54,155000,6,1575.0,400.0,216.0,1575,1,1951,1951,0,1,0,1951.0,5,522.0,0,1,0,1,0,0,1,0,0.0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,10170,1,0.0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0
55,158000,6,1352.0,299.0,663.0,663,1,1969,1969,1,1,0,1969.0,7,143.0,1,0,0,1,0,0,0,0,371.0,0,0,0,0,1,1,1,1,0,36,379,1,1,0,9364,1,0.0,1,0,1,1,0,0,0,0,1,1,1,0,689,1,0
56,149500,7,1200.0,480.0,600.0,600,0,2004,2005,0,2,1,2004.0,4,0.0,1,0,1,0,0,1,0,1,368.0,0,0,1,0,0,0,1,0,0,172,0,0,1,1,2544,1,1.0,1,0,1,1,0,0,0,0,1,1,1,0,600,0,0
57,121000,5,936.0,240.0,936.0,936,1,1954,1975,1,1,0,1954.0,5,0.0,1,0,0,1,0,0,1,1,486.0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,9888,1,0.0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0
58,136000,6,1040.0,293.0,1040.0,1040,1,1953,1953,1,1,0,1953.0,6,0.0,1,0,0,1,0,0,0,1,85.0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,7942,1,0.0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
59,173000,6,1636.0,386.0,916.0,916,1,1996,1996,1,2,1,1996.0,7,0.0,0,1,0,0,0,0,0,1,138.0,0,0,0,0,0,1,1,0,0,84,168,0,0,0,15038,1,0.0,1,0,1,1,0,0,0,0,1,1,1,0,720,1,0
60,290000,8,2270.0,671.0,1152.0,1164,0,1999,2007,0,2,1,1999.0,9,348.0,0,1,1,0,0,1,0,0,524.0,1,0,0,0,0,1,1,0,1,57,132,0,0,1,11764,1,0.0,1,0,1,1,0,1,1,0,1,1,1,0,1106,1,0
61,303477,8,2610.0,550.0,1184.0,1184,0,2007,2007,0,2,1,2007.0,11,0.0,0,1,1,0,0,1,0,1,64.0,1,0,0,1,0,1,0,0,0,364,208,0,1,0,9000,1,0.0,1,0,1,1,0,0,0,0,1,1,1,0,1426,0,0
62,270000,7,1483.0,690.0,1420.0,1483,0,1977,2001,1,1,0,1977.0,4,0.0,0,2,0,0,0,1,0,1,1092.0,0,1,0,0,1,0,0,0,0,0,496,0,0,0,20062,1,1.0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0
63,122250,5,1740.0,225.0,936.0,960,0,1920,1950,0,1,0,1920.0,6,0.0,0,1,0,1,0,0,1,1,360.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,7308,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,780,0,0
64,153000,5,1382.0,350.0,1382.0,1382,1,1955,1955,0,1,0,1955.0,6,0.0,1,0,0,1,0,0,1,1,172.0,0,0,0,0,1,0,1,0,0,0,280,0,1,1,8750,1,0.0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0
65,147000,5,1120.0,0.0,1120.0,1120,1,2007,2007,1,1,1,0.0,6,0.0,1,0,0,0,0,0,0,1,206.0,0,0,0,1,0,0,1,0,1,30,0,0,1,0,8402,1,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
66,148500,7,1098.0,216.0,531.0,567,1,1930,1995,1,1,0,1930.0,5,0.0,0,1,1,0,0,0,1,1,246.0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,4000,1,1.0,0,0,1,1,0,0,0,0,1,1,1,0,531,1,0
67,130000,7,1708.0,380.0,976.0,976,0,2004,2004,0,2,1,2004.0,7,117.0,1,0,0,0,0,1,1,0,0.0,0,0,1,0,0,0,1,0,1,40,0,1,1,1,3363,1,0.0,0,1,1,1,0,0,0,0,1,1,1,0,732,0,0
68,372000,9,1802.0,843.0,1802.0,1802,0,2006,2006,0,2,1,2006.0,7,510.0,0,1,0,0,1,0,0,0,0.0,1,1,0,0,0,0,0,0,0,105,158,1,0,0,13615,1,0.0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0
69,213490,7,1506.0,440.0,1362.0,1506,0,2005,2005,0,2,1,2005.0,6,145.0,0,1,1,0,0,1,0,0,16.0,1,1,0,0,0,0,0,0,1,20,142,0,1,1,3013,1,0.0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0
70,308030,7,1508.0,572.0,1508.0,1508,0,2009,2010,0,1,1,2009.0,5,96.0,0,2,1,0,0,1,0,0,1346.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,17485,1,1.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
71,300000,7,2032.0,786.0,1840.0,2032,0,1996,1997,0,3,1,1996.0,7,668.0,1,0,1,0,0,1,0,0,700.0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,23730,1,1.0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0
72,159500,6,1194.0,539.0,655.0,1194,1,1959,1959,1,1,0,1954.0,6,0.0,0,1,0,1,0,0,0,1,655.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8910,1,0.0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
73,137500,7,1709.0,380.0,970.0,970,0,2004,2004,0,2,1,2004.0,7,50.0,1,0,0,0,0,1,1,0,0.0,0,0,1,0,0,0,1,0,1,40,0,1,1,1,2522,1,0.0,0,1,1,1,0,0,0,0,1,1,1,0,739,0,0
74,232000,7,1616.0,834.0,1616.0,1616,0,2005,2005,0,2,1,2005.0,7,228.0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,59,208,0,1,1,8688,1,0.0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0
75,93850,6,768.0,440.0,768.0,768,0,1930,1950,1,1,0,1930.0,4,0.0,1,0,0,1,0,1,1,1,0.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6291,0,0.0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
76,105000,5,872.0,322.0,872.0,872,1,1924,1950,0,1,0,1924.0,5,65.0,0,1,0,1,0,0,1,0,0.0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,17529,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
77,68500,4,520.0,240.0,520.0,520,1,1927,1950,0,1,0,1920.0,4,0.0,1,0,0,1,0,0,1,1,0.0,0,0,1,0,0,0,1,0,0,0,49,0,0,0,6324,1,0.0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0
78,154300,5,2274.0,480.0,1105.0,1105,1,1960,1960,1,2,0,1960.0,12,361.0,1,0,0,1,0,0,1,0,443.0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,11600,1,0.0,0,0,1,1,0,0,1,0,0,1,1,0,1169,1,0
79,129850,5,1601.0,0.0,936.0,936,0,1925,2003,1,2,0,0.0,6,0.0,1,0,0,1,0,1,0,1,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7288,0,0.0,0,1,1,0,0,0,0,0,1,0,1,0,665,0,1
80,114000,5,1232.0,480.0,616.0,616,1,1910,1950,1,1,0,1920.0,6,0.0,1,0,0,1,0,0,1,1,168.0,0,0,1,0,0,0,1,0,0,0,280,0,1,0,4571,1,0.0,0,1,1,0,0,0,0,0,1,0,1,0,616,0,0
81,501837,9,2234.0,1166.0,2216.0,2234,0,2008,2009,0,2,1,2009.0,9,748.0,0,1,1,0,0,0,0,0,1904.0,1,0,0,1,0,0,1,0,1,60,0,1,0,0,17423,1,1.0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0
82,153900,5,1416.0,720.0,876.0,876,1,1915,1950,1,1,0,1949.0,7,0.0,0,1,0,1,0,0,1,1,0.0,1,0,1,0,0,0,0,0,0,0,418,0,0,0,12665,1,0.0,1,1,1,1,0,0,0,0,1,1,1,0,540,0,0
83,130000,4,864.0,576.0,864.0,864,1,1971,2006,1,1,0,1986.0,5,0.0,1,0,0,1,0,0,1,1,240.0,0,0,1,0,1,0,1,0,1,0,200,0,1,0,9000,1,0.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
84,160500,6,1189.0,392.0,1189.0,1189,1,1997,1997,1,2,1,1997.0,4,197.0,1,0,1,0,0,0,0,0,864.0,0,0,0,0,0,0,1,0,1,122,0,0,1,0,4500,1,1.0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0
85,310090,9,1666.0,575.0,1666.0,1666,0,2006,2006,0,2,1,2006.0,6,572.0,0,1,1,0,1,0,0,0,415.0,1,0,0,1,0,0,1,0,0,75,228,0,1,1,6373,1,1.0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
86,184900,7,1200.0,555.0,1176.0,1200,0,2003,2003,0,2,1,2003.0,5,0.0,1,0,1,0,0,1,0,0,833.0,0,0,0,0,0,0,1,0,1,41,0,0,1,1,10083,1,1.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
87,132000,5,928.0,252.0,928.0,928,1,1956,2000,1,1,0,1956.0,4,0.0,1,0,0,0,0,0,1,1,377.0,0,0,0,0,1,0,1,1,0,0,261,0,1,0,13300,1,0.0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
88,163000,5,1336.0,502.0,1288.0,1336,1,1969,1969,1,2,0,1969.0,6,128.0,0,1,0,0,0,0,0,0,553.0,0,0,0,0,1,0,0,1,0,11,312,0,1,0,9600,1,0.0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0
89,155000,7,1200.0,480.0,600.0,600,0,2004,2004,0,2,1,2004.0,4,120.0,1,0,1,0,0,1,0,0,280.0,0,0,1,0,0,0,0,0,0,172,0,0,1,1,3215,1,0.0,1,0,1,1,0,0,1,0,1,1,1,0,600,0,0
90,183000,6,1427.0,516.0,1427.0,1427,1,1969,1969,1,2,0,1969.0,7,0.0,1,0,1,1,0,0,0,1,828.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11104,1,0.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
91,211000,7,1992.0,608.0,860.0,1212,0,1996,2002,0,2,1,1996.0,7,254.0,0,2,1,0,0,1,0,0,762.0,0,0,0,0,0,1,0,0,1,32,225,0,0,1,15295,1,1.0,1,0,1,1,0,0,1,0,1,1,1,0,780,1,0
92,184000,7,1540.0,495.0,754.0,754,0,1994,1994,0,2,1,1994.0,6,0.0,1,0,0,0,0,1,0,1,36.0,0,0,0,0,0,1,1,0,1,32,140,0,1,1,9109,1,1.0,1,0,1,1,0,0,0,0,1,1,1,0,786,1,0
93,118858,5,1535.0,400.0,0.0,1535,1,1979,1979,1,2,0,1979.0,8,0.0,1,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,7018,1,0.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
94,180500,5,1152.0,484.0,1152.0,1152,1,1964,1964,1,1,1,1964.0,6,86.0,0,1,1,1,0,0,0,0,1014.0,1,0,0,0,0,0,0,1,0,0,227,0,0,0,14112,1,1.0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
